Group,Status,HMP,HD,DC,N,k
Hui_Anhui,OK,0.045455,1.000000,1.000000,22.000000,22
Man_Beijing,OK,0.027027,1.000000,1.000000,37.000000,37
Hezhen_Beijing,SKIPPED_SMALL_N,,,,1.000000,1
Han_Beijing,OK,0.021739,1.000000,1.000000,46.000000,46
Tujia_Chongqing,OK,0.035714,1.000000,1.000000,28.000000,28
Han_Chongqing,OK,0.010200,0.999798,0.990000,100.000000,99
She_Fujian,SKIPPED_SMALL_N,,,,11.000000,10
Dongxiang_Gansu,SKIPPED_SMALL_N,,,,3.000000,3
Hui_Gansu,OK,0.033333,1.000000,1.000000,30.000000,30
Han_Guangdong,OK,0.019200,0.992339,0.697674,86.000000,60
Gin_Guangxi,SKIPPED_SMALL_N,,,,1.000000,1
Yao_Guangxi,SKIPPED_SMALL_N,,,,4.000000,4
Zhuang_Guangxi,OK,0.010685,0.999208,0.960396,101.000000,97
Maonan_Guangxi,SKIPPED_SMALL_N,,,,2.000000,2
Mulao_Guangxi,SKIPPED_SMALL_N,,,,1.000000,1
Miao_Guizhou,OK,0.047619,1.000000,1.000000,21.000000,21
Buyei_Guizhou,SKIPPED_SMALL_N,,,,11.000000,10
Dong_Guizhou,SKIPPED_SMALL_N,,,,10.000000,10
Sui_Guizhou,SKIPPED_SMALL_N,,,,4.000000,4
Li_Hainan,SKIPPED_SMALL_N,,,,3.000000,3
Hui_Hebei,OK,0.070312,0.991667,0.937500,16.000000,15
Man_Hebei,OK,0.045455,1.000000,1.000000,22.000000,22
Russ_Heilongjiang,SKIPPED_SMALL_N,,,,1.000000,1
Korean_Heilongjiang,OK,0.058824,1.000000,1.000000,17.000000,17
Daur_Heilongjiang,SKIPPED_SMALL_N,,,,12.000000,12
Man_Heilongjiang,OK,0.055556,1.000000,1.000000,18.000000,18
Kyrgyz_Heilongjiang,SKIPPED_SMALL_N,,,,1.000000,1
Hezhen_Heilongjiang,SKIPPED_SMALL_N,,,,5.000000,5
Oroqen_Heilongjiang,SKIPPED_SMALL_N,,,,6.000000,6
Hui_Henan,OK,0.055556,1.000000,1.000000,18.000000,18
Han_Henan,OK,0.045455,1.000000,1.000000,22.000000,22
Tujia_Hubei,SKIPPED_SMALL_N,,,,15.000000,15
Miao_Hunan,SKIPPED_SMALL_N,,,,15.000000,15
Tujia_Hunan,OK,0.058824,1.000000,1.000000,17.000000,17
Mongol_InnerMongolia,OK,0.011628,1.000000,1.000000,86.000000,86
Daur_InnerMongolia,SKIPPED_SMALL_N,,,,7.000000,7
Hui_Jiangsu,SKIPPED_SMALL_N,,,,12.000000,12
Lhoba_Jiangsu,SKIPPED_SMALL_N,,,,1.000000,1
Korean_Jilin,SKIPPED_SMALL_N,,,,14.000000,14
Man_Jilin,OK,0.031250,1.000000,1.000000,32.000000,32
Mongol_Liaoning,OK,0.031250,1.000000,1.000000,32.000000,32
Hui_Liaoning,SKIPPED_SMALL_N,,,,14.000000,14
Xibe_Liaoning,SKIPPED_SMALL_N,,,,14.000000,14
Man_Liaoning,OK,0.012346,1.000000,1.000000,81.000000,81
Tu_Qinghai,SKIPPED_SMALL_N,,,,6.000000,6
Hui_Shandong,OK,0.038462,1.000000,1.000000,26.000000,26
Man_Shandong,OK,0.058172,0.994152,0.947368,19.000000,18
Zang_Sichuan,OK,0.062500,1.000000,1.000000,16.000000,16
Qiang_Sichuan,SKIPPED_SMALL_N,,,,4.000000,4
Yi_Sichuan,OK,0.037037,1.000000,1.000000,27.000000,27
Gaoshan_Taiwan,SKIPPED_SMALL_N,,,,1.000000,1
Ami_Taiwan,SKIPPED_SMALL_N,,,,1.000000,1
Atayal_Taiwan,SKIPPED_SMALL_N,,,,1.000000,1
Zang_Tibet,SKIPPED_SMALL_N,,,,12.000000,12
Uygur_Xinjiang,OK,0.043200,0.996667,0.960000,25.000000,24
Kazak_Xinjiang,SKIPPED_SMALL_N,,,,8.000000,8
Uzbek_Xinjiang,SKIPPED_SMALL_N,,,,1.000000,1
Xibe_Xinjiang,SKIPPED_SMALL_N,,,,8.000000,8
Va_Yunnan,SKIPPED_SMALL_N,,,,1.000000,1
Dai_Yunnan,OK,0.019231,1.000000,1.000000,52.000000,52
Bai_Yunnan,SKIPPED_SMALL_N,,,,12.000000,12
Pumi_Yunnan,SKIPPED_SMALL_N,,,,2.000000,2
Lahu_Yunnan,SKIPPED_SMALL_N,,,,8.000000,7
Yi_Yunnan,SKIPPED_SMALL_N,,,,15.000000,15
Naxi_Yunnan,SKIPPED_SMALL_N,,,,7.000000,7
Lisu_Yunnan,SKIPPED_SMALL_N,,,,1.000000,1
Derung_Yunnan,SKIPPED_SMALL_N,,,,1.000000,1
Bengali_Bangladesh,OK,0.021998,0.995160,0.862069,58.000000,50
Japanese_Japan,OK,0.012987,1.000000,1.000000,77.000000,77
Kinh_Vietnam,OK,0.021768,0.994536,0.836066,61.000000,51
Luhya_Kenya,SKIPPED_SMALL_N,,,,2.000000,2
Punjabi_Pakistan,OK,0.016437,0.996337,0.858974,78.000000,67
Balochi_Pakistan,OK,0.041667,1.000000,1.000000,24.000000,24
Bantu_SouthAfrica,SKIPPED_SMALL_N,,,,1.000000,1
Bedouin_Israel,OK,0.043478,1.000000,1.000000,23.000000,23
Biaka_CentralAfricanRepublic,SKIPPED_SMALL_N,,,,1.000000,1
Brahui_Pakistan,OK,0.040000,1.000000,1.000000,25.000000,25
Burusho_Pakistan,OK,0.050000,1.000000,1.000000,20.000000,20
Cambodian_Cambodia,SKIPPED_SMALL_N,,,,5.000000,5
Druze_Israel,SKIPPED_SMALL_N,,,,12.000000,12
Hazara_Pakistan,OK,0.050000,1.000000,1.000000,20.000000,20
Kalash_Pakistan,OK,0.067901,0.986928,0.888889,18.000000,16
Makrani_Pakistan,OK,0.050000,1.000000,1.000000,20.000000,20
Palestinian_Israel,SKIPPED_SMALL_N,,,,10.000000,10
Pathan_Pakistan,OK,0.052632,1.000000,1.000000,19.000000,19
Sindhi_Pakistan,OK,0.050000,1.000000,1.000000,20.000000,20
Yakut_Siberia,OK,0.058824,1.000000,1.000000,17.000000,17
Abkhasian_Siberia,SKIPPED_SMALL_N,,,,1.000000,1
Abkhasian_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Adygei_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Altaian_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Armenian_Armenia,SKIPPED_SMALL_N,,,,1.000000,1
Chukchi_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Eskimo_Russia,SKIPPED_SMALL_N,,,,2.000000,2
Even_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Georgian_Georgia,SKIPPED_SMALL_N,,,,2.000000,2
Iranian_Iran,SKIPPED_SMALL_N,,,,2.000000,2
Bergamo_Italy,SKIPPED_SMALL_N,,,,1.000000,1
Jordanian_Jordan,SKIPPED_SMALL_N,,,,2.000000,2
Kashmiri_Pandit_India,SKIPPED_SMALL_N,,,,1.000000,1
Kharia_India,SKIPPED_SMALL_N,,,,1.000000,1
Korean_South_Korea,SKIPPED_SMALL_N,,,,1.000000,1
Kurumba_India,SKIPPED_SMALL_N,,,,1.000000,1
Kusunda_Nepal,SKIPPED_SMALL_N,,,,2.000000,2
Mansi_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Sherpa_Nepal,SKIPPED_SMALL_N,,,,1.000000,1
Thai_Thailand,SKIPPED_SMALL_N,,,,1.000000,1
Yakut_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Mongol_Mongolia,SKIPPED_SMALL_N,,,,1.000000,1
