Group,Status,HMP,HD,DC,N,k
Hui_Anhui,OK,0.049587,0.995671,0.954545,22.000000,21
Man_Beijing,OK,0.034332,0.992492,0.864865,37.000000,32
Hezhen_Beijing,SKIPPED_SMALL_N,,,,1.000000,1
Han_Beijing,OK,0.022684,0.999034,0.978261,46.000000,45
Tujia_Chongqing,OK,0.112245,0.920635,0.607143,28.000000,17
Han_Chongqing,OK,0.014200,0.995758,0.830000,100.000000,83
She_Fujian,SKIPPED_SMALL_N,,,,11.000000,8
Dongxiang_Gansu,SKIPPED_SMALL_N,,,,3.000000,3
Hui_Gansu,OK,0.040000,0.993103,0.900000,30.000000,27
Han_Guangdong,OK,0.058680,0.952394,0.453488,86.000000,39
Gin_Guangxi,SKIPPED_SMALL_N,,,,1.000000,1
Yao_Guangxi,SKIPPED_SMALL_N,,,,4.000000,3
Zhuang_Guangxi,OK,0.080090,0.929109,0.405941,101.000000,41
Maonan_Guangxi,SKIPPED_SMALL_N,,,,2.000000,2
Mulao_Guangxi,SKIPPED_SMALL_N,,,,1.000000,1
Miao_Guizhou,OK,0.088435,0.957143,0.714286,21.000000,15
Buyei_Guizhou,SKIPPED_SMALL_N,,,,11.000000,9
Dong_Guizhou,SKIPPED_SMALL_N,,,,10.000000,9
Sui_Guizhou,SKIPPED_SMALL_N,,,,4.000000,2
Li_Hainan,SKIPPED_SMALL_N,,,,3.000000,3
Hui_Hebei,OK,0.093750,0.966667,0.812500,16.000000,13
Man_Hebei,OK,0.053719,0.991342,0.909091,22.000000,20
Russ_Heilongjiang,SKIPPED_SMALL_N,,,,1.000000,1
Korean_Heilongjiang,OK,0.079585,0.977941,0.882353,17.000000,15
Daur_Heilongjiang,SKIPPED_SMALL_N,,,,12.000000,10
Man_Heilongjiang,OK,0.067901,0.986928,0.888889,18.000000,16
Kyrgyz_Heilongjiang,SKIPPED_SMALL_N,,,,1.000000,1
Hezhen_Heilongjiang,SKIPPED_SMALL_N,,,,5.000000,5
Oroqen_Heilongjiang,SKIPPED_SMALL_N,,,,6.000000,5
Hui_Henan,OK,0.061728,0.993464,0.944444,18.000000,17
Han_Henan,OK,0.049587,0.995671,0.954545,22.000000,21
Tujia_Hubei,SKIPPED_SMALL_N,,,,15.000000,12
Miao_Hunan,SKIPPED_SMALL_N,,,,15.000000,11
Tujia_Hunan,OK,0.086505,0.970588,0.764706,17.000000,13
Mongol_InnerMongolia,OK,0.025960,0.985499,0.709302,86.000000,61
Daur_InnerMongolia,SKIPPED_SMALL_N,,,,7.000000,7
Hui_Jiangsu,SKIPPED_SMALL_N,,,,12.000000,12
Lhoba_Jiangsu,SKIPPED_SMALL_N,,,,1.000000,1
Korean_Jilin,SKIPPED_SMALL_N,,,,14.000000,12
Man_Jilin,OK,0.039062,0.991935,0.875000,32.000000,28
Mongol_Liaoning,OK,0.041016,0.989919,0.875000,32.000000,28
Hui_Liaoning,SKIPPED_SMALL_N,,,,14.000000,12
Xibe_Liaoning,SKIPPED_SMALL_N,,,,14.000000,11
Man_Liaoning,OK,0.021795,0.990432,0.728395,81.000000,59
Tu_Qinghai,SKIPPED_SMALL_N,,,,6.000000,5
Hui_Shandong,OK,0.044379,0.993846,0.923077,26.000000,24
Man_Shandong,OK,0.063712,0.988304,0.894737,19.000000,17
Zang_Sichuan,OK,0.093750,0.966667,0.812500,16.000000,13
Qiang_Sichuan,SKIPPED_SMALL_N,,,,4.000000,4
Yi_Sichuan,OK,0.058985,0.977208,0.740741,27.000000,20
Gaoshan_Taiwan,SKIPPED_SMALL_N,,,,1.000000,1
Ami_Taiwan,SKIPPED_SMALL_N,,,,1.000000,1
Atayal_Taiwan,SKIPPED_SMALL_N,,,,1.000000,1
Zang_Tibet,SKIPPED_SMALL_N,,,,12.000000,9
Uygur_Xinjiang,OK,0.062400,0.976667,0.800000,25.000000,20
Kazak_Xinjiang,SKIPPED_SMALL_N,,,,8.000000,3
Uzbek_Xinjiang,SKIPPED_SMALL_N,,,,1.000000,1
Xibe_Xinjiang,SKIPPED_SMALL_N,,,,8.000000,8
Va_Yunnan,SKIPPED_SMALL_N,,,,1.000000,1
Dai_Yunnan,OK,0.042160,0.976621,0.634615,52.000000,33
Bai_Yunnan,SKIPPED_SMALL_N,,,,12.000000,10
Pumi_Yunnan,SKIPPED_SMALL_N,,,,2.000000,2
Lahu_Yunnan,SKIPPED_SMALL_N,,,,8.000000,3
Yi_Yunnan,SKIPPED_SMALL_N,,,,15.000000,12
Naxi_Yunnan,SKIPPED_SMALL_N,,,,7.000000,6
Lisu_Yunnan,SKIPPED_SMALL_N,,,,1.000000,1
Derung_Yunnan,SKIPPED_SMALL_N,,,,1.000000,1
Bengali_Bangladesh,OK,0.027348,0.989716,0.758621,58.000000,44
Japanese_Japan,OK,0.042334,0.970267,0.766234,77.000000,59
Kinh_Vietnam,OK,0.041655,0.974317,0.573770,61.000000,35
Luhya_Kenya,SKIPPED_SMALL_N,,,,2.000000,2
Punjabi_Pakistan,OK,0.027285,0.985348,0.576923,78.000000,45
Balochi_Pakistan,OK,0.083333,0.956522,0.666667,24.000000,16
Bantu_SouthAfrica,SKIPPED_SMALL_N,,,,1.000000,1
Bedouin_Israel,OK,0.232514,0.802372,0.434783,23.000000,10
Biaka_CentralAfricanRepublic,SKIPPED_SMALL_N,,,,1.000000,1
Brahui_Pakistan,OK,0.097600,0.940000,0.600000,25.000000,15
Burusho_Pakistan,OK,0.120000,0.926316,0.600000,20.000000,12
Cambodian_Cambodia,SKIPPED_SMALL_N,,,,5.000000,5
Druze_Israel,SKIPPED_SMALL_N,,,,12.000000,7
Hazara_Pakistan,OK,0.225000,0.815789,0.450000,20.000000,9
Kalash_Pakistan,OK,0.185185,0.862745,0.388889,18.000000,7
Makrani_Pakistan,OK,0.065000,0.984211,0.850000,20.000000,17
Palestinian_Israel,SKIPPED_SMALL_N,,,,10.000000,3
Pathan_Pakistan,OK,0.135734,0.912281,0.736842,19.000000,14
Sindhi_Pakistan,OK,0.075000,0.973684,0.800000,20.000000,16
Yakut_Siberia,OK,0.487889,0.544118,0.176471,17.000000,3
Abkhasian_Siberia,SKIPPED_SMALL_N,,,,1.000000,1
Abkhasian_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Adygei_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Altaian_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Armenian_Armenia,SKIPPED_SMALL_N,,,,1.000000,1
Chukchi_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Eskimo_Russia,SKIPPED_SMALL_N,,,,2.000000,2
Even_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Georgian_Georgia,SKIPPED_SMALL_N,,,,2.000000,2
Iranian_Iran,SKIPPED_SMALL_N,,,,2.000000,2
Bergamo_Italy,SKIPPED_SMALL_N,,,,1.000000,1
Jordanian_Jordan,SKIPPED_SMALL_N,,,,2.000000,2
Kashmiri_Pandit_India,SKIPPED_SMALL_N,,,,1.000000,1
Kharia_India,SKIPPED_SMALL_N,,,,1.000000,1
Korean_South_Korea,SKIPPED_SMALL_N,,,,1.000000,1
Kurumba_India,SKIPPED_SMALL_N,,,,1.000000,1
Kusunda_Nepal,SKIPPED_SMALL_N,,,,2.000000,1
Mansi_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Sherpa_Nepal,SKIPPED_SMALL_N,,,,1.000000,1
Thai_Thailand,SKIPPED_SMALL_N,,,,1.000000,1
Yakut_Russia,SKIPPED_SMALL_N,,,,1.000000,1
Mongol_Mongolia,SKIPPED_SMALL_N,,,,1.000000,1
